사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210102,경춘선,춘천,612,589,1201
20210102,경춘선,남춘천,1207,1300,2507
20210102,경춘선,김유정,158,160,318
20210102,경춘선,강촌,283,281,564
20210102,경춘선,백양리,44,77,121
20210102,경춘선,굴봉산,73,60,133
20210102,경춘선,가평,725,640,1365
20210102,경춘선,상천,208,176,384
20210102,경춘선,청평,719,691,1410
20210102,경춘선,대성리,282,226,508
20210102,경춘선,마석,1623,1606,3229
20210102,경춘선,천마산,753,717,1470
20210102,경춘선,평내호평,2305,2225,4530
20210102,경춘선,금곡,586,540,1126
20210102,경춘선,사릉,1261,1277,2538
20210102,경춘선,퇴계원,1445,1351,2796
20210102,경춘선,별내,1066,1034,2100
20210102,경춘선,갈매,1089,981,2070
20210102,경춘선,신내,496,503,999
20210103,경춘선,신내,460,441,901
20210103,경춘선,갈매,849,682,1531
20210103,경춘선,별내,847,852,1699
20210103,경춘선,퇴계원,1208,1123,2331
20210103,경춘선,사릉,969,968,1937
20210103,경춘선,금곡,534,457,991
20210103,경춘선,평내호평,1796,1666,3462
20210103,경춘선,천마산,592,557,1149
20210103,경춘선,마석,1372,1345,2717
20210103,경춘선,대성리,248,186,434
20210103,경춘선,청평,684,615,1299
20210103,경춘선,상천,190,173,363
20210103,경춘선,가평,629,554,1183
20210103,경춘선,굴봉산,72,76,148
20210103,경춘선,백양리,45,72,117
20210103,경춘선,강촌,271,231,502
20210103,경춘선,김유정,165,133,298
20210103,경춘선,남춘천,1151,1208,2359
20210103,경춘선,춘천,669,555,1224
20210109,경춘선,춘천,605,584,1189
20210109,경춘선,남춘천,1199,1249,2448
20210109,경춘선,김유정,113,120,233
20210109,경춘선,강촌,189,212,401
20210109,경춘선,백양리,119,108,227
20210109,경춘선,굴봉산,37,39,76
20210109,경춘선,가평,687,681,1368
20210109,경춘선,상천,121,120,241
20210109,경춘선,청평,618,710,1328
20210109,경춘선,대성리,236,207,443
20210109,경춘선,마석,1610,1620,3230
20210109,경춘선,천마산,778,738,1516
20210109,경춘선,평내호평,2510,2517,5027
20210109,경춘선,금곡,618,567,1185
20210109,경춘선,사릉,1326,1301,2627
20210109,경춘선,퇴계원,1505,1441,2946
20210109,경춘선,별내,1244,1245,2489
20210109,경춘선,갈매,1128,1044,2172
20210109,경춘선,신내,573,579,1152
20210110,경춘선,춘천,578,559,1137
20210110,경춘선,남춘천,1149,1141,2290
20210110,경춘선,김유정,199,187,386
20210110,경춘선,강촌,278,250,528
20210110,경춘선,백양리,110,112,222
20210110,경춘선,굴봉산,68,79,147
20210110,경춘선,가평,585,551,1136
20210110,경춘선,상천,136,122,258
