사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,경춘선,신내,351,354,705
20210101,경춘선,갈매,684,622,1306
20210101,경춘선,별내,738,774,1512
20210101,경춘선,퇴계원,966,951,1917
20210101,경춘선,사릉,842,872,1714
20210101,경춘선,금곡,430,427,857
20210101,경춘선,평내호평,1659,1715,3374
20210101,경춘선,천마산,585,569,1154
20210101,경춘선,마석,1099,1285,2384
20210101,경춘선,대성리,262,205,467
20210101,경춘선,청평,627,602,1229
20210101,경춘선,상천,141,102,243
20210101,경춘선,가평,635,572,1207
20210101,경춘선,굴봉산,54,53,107
20210101,경춘선,백양리,50,36,86
20210101,경춘선,강촌,191,186,377
20210101,경춘선,김유정,120,130,250
20210101,경춘선,남춘천,952,907,1859
20210101,경춘선,춘천,533,502,1035
20210104,경춘선,신내,1170,1142,2312
20210104,경춘선,갈매,2392,2114,4506
20210104,경춘선,별내,2143,2082,4225
20210104,경춘선,퇴계원,2910,2718,5628
20210104,경춘선,사릉,2844,2678,5522
20210104,경춘선,금곡,1248,1113,2361
20210104,경춘선,평내호평,4827,4607,9434
20210104,경춘선,천마산,1271,1261,2532
20210104,경춘선,마석,2947,2928,5875
20210104,경춘선,대성리,328,260,588
20210104,경춘선,청평,948,906,1854
20210104,경춘선,상천,178,147,325
20210104,경춘선,가평,924,914,1838
20210104,경춘선,굴봉산,52,61,113
20210104,경춘선,백양리,82,93,175
20210104,경춘선,강촌,178,182,360
20210104,경춘선,김유정,160,149,309
20210104,경춘선,남춘천,1477,1515,2992
20210104,경춘선,춘천,727,650,1377
20210105,경춘선,춘천,732,739,1471
20210105,경춘선,남춘천,1413,1475,2888
20210105,경춘선,김유정,146,130,276
20210105,경춘선,강촌,228,213,441
20210105,경춘선,백양리,119,114,233
20210105,경춘선,굴봉산,55,72,127
20210105,경춘선,가평,961,919,1880
20210105,경춘선,상천,151,155,306
20210105,경춘선,청평,945,916,1861
20210105,경춘선,대성리,328,271,599
20210105,경춘선,마석,2889,2835,5724
20210105,경춘선,천마산,1231,1131,2362
20210105,경춘선,평내호평,4659,4601,9260
20210105,경춘선,금곡,1210,1138,2348
20210105,경춘선,사릉,2695,2615,5310
20210105,경춘선,퇴계원,2934,2717,5651
20210105,경춘선,별내,2068,2063,4131
20210105,경춘선,갈매,2460,2091,4551
20210105,경춘선,신내,1178,1224,2402
20210106,경춘선,춘천,628,612,1240
20210106,경춘선,남춘천,1353,1383,2736
20210106,경춘선,김유정,126,138,264
20210106,경춘선,강촌,158,170,328
20210106,경춘선,백양리,85,79,164
20210106,경춘선,굴봉산,51,69,120
20210106,경춘선,가평,884,875,1759
20210106,경춘선,상천,130,110,240
20210106,경춘선,청평,884,922,1806
20210106,경춘선,대성리,296,261,557
20210106,경춘선,마석,2757,3000,5757
20210106,경춘선,천마산,1199,1247,2446
20210106,경춘선,평내호평,4732,5021,9753
20210106,경춘선,금곡,1236,1162,2398
20210106,경춘선,사릉,2671,2784,5455
20210106,경춘선,퇴계원,2920,2924,5844
20210106,경춘선,별내,2098,2171,4269
20210106,경춘선,갈매,2461,2264,4725
20210106,경춘선,신내,1171,1246,2417
20210107,경춘선,춘천,734,734,1468
20210107,경춘선,남춘천,1571,1571,3142
20210107,경춘선,김유정,141,142,283
20210107,경춘선,강촌,198,211,409
20210107,경춘선,백양리,100,105,205
20210107,경춘선,굴봉산,63,46,109
20210107,경춘선,가평,967,998,1965
20210107,경춘선,상천,133,141,274
20210107,경춘선,청평,932,911,1843
20210107,경춘선,대성리,280,255,535
20210107,경춘선,마석,3346,3100,6446
20210107,경춘선,천마산,1247,1131,2378
20210107,경춘선,평내호평,5178,4890,10068
20210107,경춘선,금곡,1233,1202,2435
20210107,경춘선,사릉,2925,2807,5732
20210107,경춘선,퇴계원,3097,2895,5992
20210107,경춘선,별내,2270,2206,4476
20210107,경춘선,갈매,2656,2277,4933
20210107,경춘선,신내,1234,1184,2418
20210108,경춘선,춘천,740,683,1423
20210108,경춘선,남춘천,1548,1528,3076
20210108,경춘선,김유정,117,125,242
20210108,경춘선,강촌,145,172,317
20210108,경춘선,백양리,72,98,170
20210108,경춘선,굴봉산,37,37,74
20210108,경춘선,가평,887,865,1752
20210108,경춘선,상천,118,97,215
20210108,경춘선,청평,765,819,1584
20210108,경춘선,대성리,267,238,505
20210108,경춘선,마석,2602,2653,5255
20210108,경춘선,천마산,1081,982,2063
20210108,경춘선,평내호평,4267,4352,8619
20210108,경춘선,금곡,1083,1049,2132
20210108,경춘선,사릉,2512,2448,4960
20210108,경춘선,퇴계원,2693,2576,5269
20210108,경춘선,별내,1889,1872,3761
20210108,경춘선,갈매,2306,2075,4381
20210108,경춘선,신내,1042,1010,2052
20210111,경춘선,신내,1153,1190,2343
20210111,경춘선,갈매,2466,2115,4581
20210111,경춘선,별내,2082,2066,4148
20210111,경춘선,퇴계원,2851,2702,5553
20210111,경춘선,사릉,2784,2697,5481
20210111,경춘선,금곡,1145,1069,2214
20210111,경춘선,평내호평,4743,4590,9333
20210111,경춘선,천마산,1258,1153,2411
20210111,경춘선,마석,2911,2801,5712
20210111,경춘선,대성리,295,250,545
20210111,경춘선,청평,955,916,1871
20210111,경춘선,상천,136,134,270
20210111,경춘선,가평,942,923,1865
20210111,경춘선,굴봉산,68,69,137
20210111,경춘선,백양리,88,88,176
20210111,경춘선,강촌,180,171,351
20210111,경춘선,김유정,132,120,252
20210111,경춘선,남춘천,1485,1516,3001
20210111,경춘선,춘천,670,618,1288
20210112,경춘선,춘천,717,683,1400
20210112,경춘선,남춘천,1600,1714,3314
20210112,경춘선,김유정,150,159,309
20210112,경춘선,강촌,211,192,403
20210112,경춘선,백양리,141,95,236
20210112,경춘선,굴봉산,53,47,100
20210112,경춘선,가평,966,953,1919
20210112,경춘선,상천,149,153,302
20210112,경춘선,청평,1001,1010,2011
20210112,경춘선,대성리,368,279,647
20210112,경춘선,마석,3071,3491,6562
20210112,경춘선,천마산,1298,1323,2621
20210112,경춘선,평내호평,4972,5407,10379
20210112,경춘선,금곡,1293,1256,2549
20210112,경춘선,사릉,2965,3117,6082
20210112,경춘선,퇴계원,3119,3264,6383
20210112,경춘선,별내,2326,2463,4789
20210112,경춘선,갈매,2678,2618,5296
20210112,경춘선,신내,1325,1371,2696
20210113,경춘선,신내,1237,1314,2551
20210113,경춘선,갈매,2623,2289,4912
20210113,경춘선,별내,2216,2159,4375
20210113,경춘선,퇴계원,3161,2977,6138
20210113,경춘선,사릉,2915,2849,5764
20210113,경춘선,금곡,1296,1226,2522
20210113,경춘선,평내호평,5091,4902,9993
20210113,경춘선,천마산,1358,1245,2603
20210113,경춘선,마석,3103,3015,6118
20210113,경춘선,대성리,348,337,685
20210113,경춘선,청평,1033,1015,2048
20210113,경춘선,상천,177,167,344
20210113,경춘선,가평,1002,1037,2039
20210113,경춘선,굴봉산,56,79,135
20210113,경춘선,백양리,123,130,253
20210113,경춘선,강촌,292,294,586
20210113,경춘선,김유정,205,209,414
20210113,경춘선,남춘천,1704,1687,3391
20210113,경춘선,춘천,864,871,1735
20210114,경춘선,신내,1276,1267,2543
20210114,경춘선,갈매,2573,2228,4801
20210114,경춘선,별내,2186,2181,4367
20210114,경춘선,퇴계원,3138,2889,6027
20210114,경춘선,사릉,2850,2759,5609
20210114,경춘선,금곡,1283,1229,2512
20210114,경춘선,평내호평,4983,4929,9912
20210114,경춘선,천마산,1330,1289,2619
20210114,경춘선,마석,3042,3016,6058
20210114,경춘선,대성리,368,337,705
20210114,경춘선,청평,1097,1078,2175
20210114,경춘선,상천,199,174,373
20210114,경춘선,가평,1007,1020,2027
20210114,경춘선,굴봉산,77,91,168
20210114,경춘선,백양리,122,119,241
20210114,경춘선,강촌,251,265,516
20210114,경춘선,김유정,184,186,370
20210114,경춘선,남춘천,1629,1679,3308
20210114,경춘선,춘천,775,765,1540
20210115,경춘선,신내,1199,1201,2400
20210115,경춘선,갈매,2505,2318,4823
20210115,경춘선,별내,2230,2228,4458
20210115,경춘선,퇴계원,3038,2821,5859
20210115,경춘선,사릉,2789,2811,5600
20210115,경춘선,금곡,1181,1160,2341
20210115,경춘선,평내호평,4896,4838,9734
20210115,경춘선,천마산,1310,1257,2567
20210115,경춘선,마석,3022,3015,6037
20210115,경춘선,대성리,328,320,648
20210115,경춘선,청평,985,1043,2028
20210115,경춘선,상천,147,141,288
20210115,경춘선,가평,1063,1066,2129
20210115,경춘선,굴봉산,63,73,136
20210115,경춘선,백양리,139,125,264
20210115,경춘선,강촌,243,230,473
20210115,경춘선,김유정,160,171,331
20210115,경춘선,남춘천,1927,1928,3855
20210115,경춘선,춘천,1024,934,1958
20210118,경춘선,춘천,956,875,1831
20210118,경춘선,남춘천,1918,1919,3837
20210118,경춘선,김유정,191,174,365
20210118,경춘선,강촌,237,236,473
20210118,경춘선,백양리,196,155,351
20210118,경춘선,굴봉산,61,57,118
20210118,경춘선,가평,1165,1155,2320
20210118,경춘선,상천,167,146,313
20210118,경춘선,청평,1030,966,1996
20210118,경춘선,대성리,347,298,645
20210118,경춘선,마석,3374,3105,6479
20210118,경춘선,천마산,1319,1235,2554
20210118,경춘선,평내호평,5340,5032,10372
20210118,경춘선,금곡,1330,1235,2565
20210118,경춘선,사릉,3095,2905,6000
20210118,경춘선,퇴계원,3225,3053,6278
20210118,경춘선,별내,2334,2260,4594
20210118,경춘선,갈매,2670,2379,5049
20210118,경춘선,신내,1306,1288,2594
20210119,경춘선,신내,1261,1272,2533
20210119,경춘선,갈매,2554,2284,4838
20210119,경춘선,별내,2134,2144,4278
20210119,경춘선,퇴계원,3038,2844,5882
20210119,경춘선,사릉,2777,2707,5484
20210119,경춘선,금곡,1327,1242,2569
20210119,경춘선,평내호평,4848,4763,9611
20210119,경춘선,천마산,1297,1237,2534
20210119,경춘선,마석,2905,2974,5879
20210119,경춘선,대성리,321,272,593
20210119,경춘선,청평,953,914,1867
20210119,경춘선,상천,133,116,249
20210119,경춘선,가평,971,1002,1973
20210119,경춘선,굴봉산,55,62,117
20210119,경춘선,백양리,140,120,260
20210119,경춘선,강촌,196,193,389
20210119,경춘선,김유정,144,133,277
20210119,경춘선,남춘천,1550,1587,3137
20210119,경춘선,춘천,758,703,1461
20210120,경춘선,춘천,798,766,1564
20210120,경춘선,남춘천,1647,1718,3365
20210120,경춘선,김유정,176,174,350
20210120,경춘선,강촌,250,281,531
20210120,경춘선,백양리,122,144,266
20210120,경춘선,굴봉산,65,63,128
20210120,경춘선,가평,1152,1105,2257
20210120,경춘선,상천,176,174,350
20210120,경춘선,청평,1102,1096,2198
20210120,경춘선,대성리,369,304,673
20210120,경춘선,마석,3177,3042,6219
20210120,경춘선,천마산,1352,1292,2644
20210120,경춘선,평내호평,5128,5058,10186
20210120,경춘선,금곡,1308,1238,2546
20210120,경춘선,사릉,2892,2841,5733
20210120,경춘선,퇴계원,3108,2997,6105
20210120,경춘선,별내,2345,2269,4614
20210120,경춘선,갈매,2677,2323,5000
20210120,경춘선,신내,1272,1287,2559
20210121,경춘선,춘천,840,813,1653
20210121,경춘선,남춘천,1621,1595,3216
20210121,경춘선,김유정,140,124,264
20210121,경춘선,강촌,187,197,384
20210121,경춘선,백양리,149,129,278
20210121,경춘선,굴봉산,74,67,141
20210121,경춘선,가평,1082,1047,2129
20210121,경춘선,상천,174,158,332
20210121,경춘선,청평,1032,1057,2089
20210121,경춘선,대성리,344,297,641
20210121,경춘선,마석,2965,2972,5937
20210121,경춘선,천마산,1321,1222,2543
20210121,경춘선,평내호평,5033,4980,10013
20210121,경춘선,금곡,1206,1148,2354
20210121,경춘선,사릉,2755,2752,5507
20210121,경춘선,퇴계원,3147,2946,6093
20210121,경춘선,별내,2211,2180,4391
20210121,경춘선,갈매,2616,2284,4900
20210121,경춘선,신내,1300,1289,2589
20210122,경춘선,춘천,1043,995,2038
20210122,경춘선,남춘천,2105,2288,4393
20210122,경춘선,김유정,161,164,325
20210122,경춘선,강촌,215,230,445
20210122,경춘선,백양리,133,113,246
20210122,경춘선,굴봉산,59,72,131
20210122,경춘선,가평,1157,1230,2387
20210122,경춘선,상천,168,159,327
20210122,경춘선,청평,1039,1141,2180
20210122,경춘선,대성리,384,319,703
20210122,경춘선,마석,3201,3127,6328
20210122,경춘선,천마산,1385,1296,2681
20210122,경춘선,평내호평,5279,5280,10559
20210122,경춘선,금곡,1315,1220,2535
20210122,경춘선,사릉,2857,2910,5767
20210122,경춘선,퇴계원,3218,2932,6150
20210122,경춘선,별내,2293,2339,4632
20210122,경춘선,갈매,2643,2338,4981
20210122,경춘선,신내,1285,1287,2572
20210125,경춘선,신내,1305,1280,2585
20210125,경춘선,갈매,2669,2401,5070
20210125,경춘선,별내,2388,2313,4701
20210125,경춘선,퇴계원,3315,3074,6389
20210125,경춘선,사릉,3147,2984,6131
20210125,경춘선,금곡,1345,1256,2601
20210125,경춘선,평내호평,5520,5239,10759
20210125,경춘선,천마산,1503,1411,2914
20210125,경춘선,마석,3370,3297,6667
20210125,경춘선,대성리,409,349,758
20210125,경춘선,청평,1198,1118,2316
20210125,경춘선,상천,167,173,340
20210125,경춘선,가평,1199,1204,2403
20210125,경춘선,굴봉산,76,80,156
20210125,경춘선,백양리,165,138,303
20210125,경춘선,강촌,263,265,528
20210125,경춘선,김유정,172,178,350
20210125,경춘선,남춘천,1868,1843,3711
20210125,경춘선,춘천,984,908,1892
20210126,경춘선,신내,1265,1306,2571
20210126,경춘선,갈매,2630,2336,4966
20210126,경춘선,별내,2265,2290,4555
20210126,경춘선,퇴계원,3073,2954,6027
20210126,경춘선,사릉,2945,2822,5767
20210126,경춘선,금곡,1297,1228,2525
20210126,경춘선,평내호평,5139,5026,10165
20210126,경춘선,천마산,1338,1242,2580
20210126,경춘선,마석,3157,3036,6193
20210126,경춘선,대성리,377,307,684
20210126,경춘선,청평,1070,1013,2083
20210126,경춘선,상천,183,164,347
20210126,경춘선,가평,1079,1085,2164
20210126,경춘선,굴봉산,73,78,151
20210126,경춘선,백양리,154,141,295
20210126,경춘선,강촌,221,197,418
20210126,경춘선,김유정,161,157,318
20210126,경춘선,남춘천,1610,1713,3323
20210126,경춘선,춘천,854,781,1635
20210127,경춘선,신내,1396,1426,2822
20210127,경춘선,갈매,2762,2459,5221
20210127,경춘선,별내,2449,2362,4811
20210127,경춘선,퇴계원,3350,3162,6512
20210127,경춘선,사릉,3041,2904,5945
20210127,경춘선,금곡,1404,1378,2782
20210127,경춘선,평내호평,5427,5380,10807
20210127,경춘선,천마산,1498,1436,2934
20210127,경춘선,마석,3406,3230,6636
20210127,경춘선,대성리,382,356,738
20210127,경춘선,청평,1139,1124,2263
20210127,경춘선,상천,191,175,366
20210127,경춘선,가평,1257,1177,2434
20210127,경춘선,굴봉산,85,96,181
20210127,경춘선,백양리,176,136,312
20210127,경춘선,강촌,262,277,539
20210127,경춘선,김유정,202,200,402
20210127,경춘선,남춘천,2145,2126,4271
20210127,경춘선,춘천,923,819,1742
20210128,경춘선,신내,1307,1304,2611
20210128,경춘선,갈매,2687,2409,5096
20210128,경춘선,별내,2387,2329,4716
20210128,경춘선,퇴계원,3195,3006,6201
20210128,경춘선,사릉,2922,2871,5793
20210128,경춘선,금곡,1314,1281,2595
20210128,경춘선,평내호평,5337,5095,10432
20210128,경춘선,천마산,1324,1227,2551
20210128,경춘선,마석,3219,3049,6268
20210128,경춘선,대성리,334,299,633
20210128,경춘선,청평,1008,1002,2010
20210128,경춘선,상천,150,125,275
20210128,경춘선,가평,1109,1130,2239
20210128,경춘선,굴봉산,55,76,131
20210128,경춘선,백양리,150,125,275
20210128,경춘선,강촌,228,224,452
20210128,경춘선,김유정,196,213,409
20210128,경춘선,남춘천,1776,1852,3628
20210128,경춘선,춘천,916,821,1737
20210129,경춘선,신내,1194,1204,2398
20210129,경춘선,갈매,2565,2215,4780
20210129,경춘선,별내,2145,2187,4332
20210129,경춘선,퇴계원,2997,2796,5793
20210129,경춘선,사릉,2761,2767,5528
20210129,경춘선,금곡,1241,1099,2340
20210129,경춘선,평내호평,5011,5072,10083
20210129,경춘선,천마산,1226,1177,2403
20210129,경춘선,마석,2941,2994,5935
20210129,경춘선,대성리,297,268,565
20210129,경춘선,청평,989,997,1986
20210129,경춘선,상천,142,136,278
20210129,경춘선,가평,1095,1148,2243
20210129,경춘선,굴봉산,74,69,143
20210129,경춘선,백양리,171,147,318
20210129,경춘선,강촌,177,196,373
20210129,경춘선,김유정,162,159,321
20210129,경춘선,남춘천,1845,1916,3761
20210129,경춘선,춘천,916,878,1794
20210201,경춘선,춘천,865,822,1687
20210201,경춘선,남춘천,1742,1741,3483
20210201,경춘선,김유정,172,190,362
20210201,경춘선,강촌,235,202,437
20210201,경춘선,백양리,131,121,252
20210201,경춘선,굴봉산,65,82,147
20210201,경춘선,가평,1195,1143,2338
20210201,경춘선,상천,164,151,315
20210201,경춘선,청평,1072,1060,2132
20210201,경춘선,대성리,361,300,661
20210201,경춘선,마석,3402,3222,6624
20210201,경춘선,천마산,1493,1382,2875
20210201,경춘선,평내호평,5538,5345,10883
20210201,경춘선,금곡,1389,1312,2701
20210201,경춘선,사릉,3051,2925,5976
20210201,경춘선,퇴계원,3353,3112,6465
20210201,경춘선,별내,2455,2315,4770
20210201,경춘선,갈매,2806,2498,5304
20210201,경춘선,신내,1389,1393,2782
20210202,경춘선,춘천,770,732,1502
20210202,경춘선,남춘천,1894,1892,3786
20210202,경춘선,김유정,158,154,312
20210202,경춘선,강촌,191,197,388
20210202,경춘선,백양리,172,148,320
20210202,경춘선,굴봉산,74,67,141
20210202,경춘선,가평,1118,1040,2158
20210202,경춘선,상천,168,153,321
20210202,경춘선,청평,1056,1057,2113
20210202,경춘선,대성리,332,309,641
20210202,경춘선,마석,3274,3135,6409
20210202,경춘선,천마산,1428,1310,2738
20210202,경춘선,평내호평,5283,5210,10493
20210202,경춘선,금곡,1316,1218,2534
20210202,경춘선,사릉,2914,2841,5755
20210202,경춘선,퇴계원,3215,3047,6262
20210202,경춘선,별내,2329,2267,4596
20210202,경춘선,갈매,2733,2435,5168
20210202,경춘선,신내,1378,1326,2704
20210203,경춘선,신내,1449,1501,2950
20210203,경춘선,갈매,2829,2519,5348
20210203,경춘선,별내,2391,2444,4835
20210203,경춘선,퇴계원,3368,3192,6560
20210203,경춘선,사릉,3017,2936,5953
20210203,경춘선,금곡,1397,1385,2782
20210203,경춘선,평내호평,5598,5456,11054
20210203,경춘선,천마산,1484,1394,2878
20210203,경춘선,마석,3574,3524,7098
20210203,경춘선,대성리,378,318,696
20210203,경춘선,청평,1170,1168,2338
20210203,경춘선,상천,169,151,320
20210203,경춘선,가평,1111,1122,2233
20210203,경춘선,굴봉산,84,82,166
20210203,경춘선,백양리,151,129,280
20210203,경춘선,강촌,200,208,408
20210203,경춘선,김유정,213,210,423
20210203,경춘선,남춘천,1647,1717,3364
